date,desc,amount,cat
March 17,TOSCANO BANGALORE,1.0,MCCs 5700-7299 (Miscellaneous Stores)
March 17,RED APPLE KITCHEN CONSU XXX,1.0,MCCs 5700-7299 (Miscellaneous Stores)
March 18,BLISS CHOCOLATES INDIA BANGALORE,1.0,MCCs 5700-7299 (Miscellaneous Stores)
March 21,BLISS CHOCOLATES INDIA BANGALORE,2.0,MCCs 5700-7299 (Miscellaneous Stores)
March 21,THE OBEROI POLO CLUB - XXX,2.0,MCCs 5700-7299 (Miscellaneous Stores)
March 22,THE TAJ WEST END-TAJ EA BANGALORE,2.0,MCCs 5700-7299 (Miscellaneous Stores)
March 22,CAFE NOIR BANGALORE,2.0,MCCs 5700-7299 (Miscellaneous Stores)
March 22,CAFE NOIR BANGALORE,3.0,MCCs 5700-7299 (Miscellaneous Stores)
March 23,CAFE COFFEE DAY BANGALORE,3.0,MCCs 5700-7299 (Miscellaneous Stores)
November 27,PLAZA PREMIUM BENGALURU,3.0,MCCs 5700-7299 (Miscellaneous Stores)
December 7,TRAVEL FOOD SERVICES KOLKATA,4.0,MCCs 5700-7299 (Miscellaneous Stores)
December 10,COFFE & MORE 5 KOLKATA,4.0,MCCs 5700-7299 (Miscellaneous Stores)
December 12,SHELL J K ENTERPRISES BANGALORE,4.0,MCCs 4800-4999 (Utility Services)
December 12,CONVENIENCE FEE-FUEL PURCHASE,5.0,MCCs 4800-4999 (Utility Services)
December 12,GST/IGST @18% ON FUEL CONVENIENCE FEE,5.0,MCCs 9000-9999 (Government Services)
September 30,COSTCO WHSE #0423 00000 SUNNYVALE 2.00,1.0,MCCs 5000-5599 (Retail Outlet Services)
September 30,MACY'S EAST #340 000000 SUNNYVALE 2.00,1.0,MCCs 5000-5599 (Retail Outlet Services)
